Assay Type,Molecule Name,Molecular Weight,AlogP,#RO5 Violations,Standard Type,Standard Relation,Standard Value,Standard Units,Original Smiles,nM,Inhibitor
B,,769.91,-0.34,2.0,IC50,=,10000.0,nM,N=C(N)NCCC(=O)N[C@H]1C/C=C\C[C@H](C(=O)NCCc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN=C(N)N)NC1=O,10000.0,0
B,,417.6,5.24,1.0,IC50,>,10000.0,nM,CCOC(=O)c1c(NC(=S)Nc2ccc(N(C)C)cc2)sc2c1C(C)CCC2,10000.0,0
B,,2619.22,,,IC50,=,28.33,nM,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCCN)C(C)C)C(=O)N[C@@H](CO)C(=O)NCCCC[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)C1)C(=O)O,28.33,1
F,,512.66,3.84,1.0,IC50,=,113.0,nM,O=C(O)Cn1c2ccccc2c2ccnc(CN(CCCN3CCNCC3)[C@H]3CCCc4cccnc43)c21,124.0,1
F,,390.58,3.75,0.0,IC50,=,34.0,nM,N[C@H]1CC[C@H](N(C[C@H]2Cc3ccccc3CN2)[C@H]2CCCc3cccnc32)CC1,34.0,1
B,,2877.35,,,IC50,=,48.04,nM,CC(C)C[C@@H](N)C(=O)NCC(=O)N[C@H](C)C(=O)N[C@H](CO)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1cnc[nH]1)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(=N)N)C(=O)N(CCCCCC(=O)O)[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CS)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(N)=O)[C@H](C)O)[C@H](C)O,48.04,1
B,,421.59,6.25,1.0,IC50,>,10000.0,nM,CC1CCCc2sc(NC(=S)Nc3ccccc3)c(C(=O)Nc3ccccc3)c21,10000.0,0
F,,435.55,6.2,1.0,IC50,>,50000.0,nM,CC(=O)c1c(C)oc2c1cc(NS(=O)(=O)c1ccc(C(C)(C)C)cc1)c1ccccc12,50000.0,0
B,,794.02,0.18,2.0,IC50,=,1000.0,nM,N=C(N)NCCCN[C@H]1CSSC[C@H](C(=O)NCCc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN=C(N)N)NC1=O,1000.0,0
F,,387.49,4.09,0.0,IC50,=,12.0,nM,NCc1ccoc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21,12.0,1
